Z100;Albania
Z364;Bophuthatswana
Z365;Transkei
Z366;Venda
Z367;Ciskei
Z368;Eritrea
Z369;Nyasaland
Z370;Congo Belga
Z400;Bermuda (Isole)
Z401;Canada
Z402;Groenlandia
Z403;Saint Pierre Et Miquelon (Isole)
Z404;Stati Uniti D'America
Z500;Antille Britanniche
Z501;Antille Olandesi
Z502;Bahama (Isole)
Z502;Bahama
Z503;Costa Rica
Z504;Cuba
Z505;Repubblica Dominicana
Z506;El Salvador
Z507;Giamaica
Z508;Guadalupa
Z509;Guatemala
Z510;Haiti
Z511;Honduras
Z512;Honduras Britannico
Z512;Belize
Z513;Martinica
Z514;Messico
Z515;Nicaragua
Z516;Panamá
Z517;Panamá Zona del Canale
Z518;Puerto Rico
Z519;Turks e Caicos (Isole)
Z520;Vergini Americane (Isole)
Z521;Antille Britanniche
Z522;Barbados
Z523;Antille Britanniche
Z524;Grenada
Z525;Vergini Britanniche (Isole)
Z526;Dominica
Z527;Saint Lucia
Z528;Saint Vincent e Grenadine
Z529;Anguilla (Isola)
Z530;Cayman (Isole)
Z531;Montserrat
Z532;Antigua e Barbuda
Z533;Saint Kitts e Nevis
Z600;Argentina
Z601;Bolivia
Z602;Brasile
Z603;Cile
Z604;Colombia
Z605;Ecuador
Z606;Guyana Britannica
Z606;Guyana
Z607;Guayana
Z608;Guayana Olandese
Z608;Suriname
Z609;Malvine
Z610;Paraguay
Z611;Perù
Z612;Trinidad e Tobago
Z613;Uruguay
Z614;Venezuela
Z700;Australia
Z701;Caroline (Isole)
Z702;Christmas (Isola)
Z703;Cook (Isole)
Z704;Figi
Z705;Gilbert E Ellice (Isole)
Z706;Guam (Isola)
Z707;Irian Occidentale
Z708;Macquarie (Isole)
Z709;Marcus (Isole)
Z710;Marianne (Isole)
Z711;Marshall (Isole)
Z711;Marshall
Z712;Midway (Isole)
Z713;Nauru
Z713;Nauru (Isole)
Z714;Niue
Z715;Norfolk (Isole e Isole del Mar dei Coralli)
Z716;Nuova Caledonia (Isole e Dipendenze)
Z717;Nuove Ebridi (Isole Condominio Franco-Inglese)
Z718;Nuova Guinea
Z719;Nuova Zelanda
Z720;Papuasia
Z721;Isole Cilene (Pasqua e Sala Y Gomez)
Z721;Pasqua (Isola)
Z722;Pitcairn (E Dipendenze)
Z723;Polinesia Francese (Isole)
Z724;Salomone
Z724;Salomone (Isole)
Z725;Samoa Americane (Isole)
Z726;Samoa
Z727;Tokelau
Z728;Tonga
Z729;Wallis e Futuna (Isole)
Z730;Papua Nuova Guinea
Z731;Kiribati
Z732;Tuvalu
Z733;Vanuatu
Z734;Palau
Z734;Palau Repubblica
Z735;Micronesia Stati Federati
Z800;Dipendenze Canadesi
Z801;Dipendenze Norvegesi Artiche
Z802;Dipendenze Sovietiche
Z802;Dipendenze Russe
Z900;Dipendenze Australiane
Z901;Dipendenze Britanniche
Z902;Dipendenze Francesi
Z903;Dipendenze Neozelandesi
Z904;Dipendenze Norvegesi Antartiche
Z905;Dipendenze Statunitensi
Z906;Dipendenze Sudafricane
Z907;Sud Sudan
