Z100;Albania
Z501;Netherlands Antilles
Z502;Bahama Islands
Z502;Bahama
Z503;Costa Rica
Z504;Cuba
Z505;Dominican Republic
Z506;El Salvador
Z507;Jamaica
Z508;Guadeloupe
Z509;Guatemala
Z510;Haiti
Z511;Honduras
Z512;British Honduras
Z512;Belize
Z513;Martinique
Z514;Mexico
Z515;Nicaragua
Z516;Panama
Z517;Panama Canal zone
Z518;Puerto Rico
Z519;Turks and Caicos (Islands)
Z520;American Virgin (Islands)
Z521;British Antilles
Z522;Barbados
Z523;British Antilles
Z524;Grenada
Z525;British Virgin Islands
Z526;Dominica
Z527;Saint Lucia
Z528;Saint Vincent and the Grenadines
Z529;Anguilla (Island)
Z530;Cayman (Islands)
Z531;Montserrat
Z532;Antigua and Barbuda
Z533;Saint Kitts and Nevis
Z600;Argentina
Z601;Bolivia
Z602;Brazil
Z603;Chile
Z604;Colombia
Z605;Ecuador
Z606;British Guyana
Z606;Guyana
Z607;Guayana
Z608;Dutch Guiana
Z608;Suriname
Z609;Islas Malvinas
Z610;Paraguay
Z611;Peru
Z612;Trinidad and Tobago
Z613;Uruguay
Z614;Venezuela
Z700;Australia
Z701;Caroline (Islands)
Z702;Christmas (Island)
Z703;Cook (Islands)
Z704;Fiji
Z705;Gilbert And Ellice Islands (Islands)
Z706;Guam (Island)
Z707;West Irian
Z708;Macquarie Islands
Z709;Marcus (Islands)
Z710;Marianne (Islands)
Z711;Marshall Islands
Z711;Marshall
Z712;Midway Islands
Z713;Nauru
Z713;Nauru (Islands)
Z714;Niue
Z715;Norfolk (Islands and Coral Sea Islands)
Z716;New Caledonia (Islands and dependencies)
Z717;New Hebrides (Islands Franco-British Condominium)
Z718;New Guinea
Z719;New Zealand
Z720;Papua
Z721;Chilean Islands (Easter and Sala Y Gomez)
Z721;Easter (Island)
Z722;Pitcairn Islands (And Dependencies)
Z723;French Polynesia (Islands)
Z724;Solomon
Z724;Solomon (Islands)
Z725;American Samoa (Island)
Z726;Samoa
Z727;Tokelau
Z728;Tonga
Z729;Wallis and Futuna (Islands)
Z730;Papua New Guinea
Z731;Kiribati
Z732;Tuvalu
Z733;Vanuatu
Z734;Palau
Z734;Palau Republic
Z735;Micronesia Federated States
Z800;Canadian Dependencies
Z801;Norwegian Arctic Dependencies
Z802;Soviet Dependencies
Z802;Russian Dependencies
Z900;Australian Dependencies
Z901;British Dependencies
Z902;French Dependencies
Z903;New Zealand Dependencies
Z904;Norwegian Antarctic Dependencies
Z905;U.S. Dependencies
Z906;South African Dependencies
Z907;South Sudan
