Name;State
Papua New Guinea;EE
Kiribati;EE
Tuvalu;EE
Vanuatu;EE
Palau;EE
Palau Republic;EE
Micronesia Federated States;EE
Canadian Dependencies;EE
Norwegian Arctic Dependencies;EE
Soviet Dependencies;EE
Russian Dependencies;EE
Australian Dependencies;EE
British Dependencies;EE
French Dependencies;EE
New Zealand Dependencies;EE
Norwegian Antarctic Dependencies;EE
U.S. Dependencies;EE
South African Dependencies;EE
South Sudan;EE
